collection_id,full_identifier,title,region,dialect,languages,access_condition_name,essence_filename,essence_permalink,download_status,error_message,char_count,local_text_path,text
MMT1,MMT1-20180730JS,Janet Stewart and Bruce Thomas,,,"English, Martu Wangka, Pintupi-Luritja, Panytyima, Nyiyaparli",Open (subject to agreeing to PDSC access conditions),MMT1-20180730JS-01txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20180730JS/MMT1-20180730JS-01txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20180730JS,Janet Stewart and Bruce Thomas,,,"English, Martu Wangka, Pintupi-Luritja, Panytyima, Nyiyaparli",Open (subject to agreeing to PDSC access conditions),MMT1-20180730JS-text.pdf,https://catalog.paradisec.org.au/repository/MMT1/20180730JS/MMT1-20180730JS-text.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20180803AT,Alec Tucker,,,"English, Panytyima",Open (subject to agreeing to PDSC access conditions),MMT1-20180803AT-lbl_02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20180803AT/MMT1-20180803AT-lbl_02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20180803AT,Alec Tucker,,,"English, Panytyima",Open (subject to agreeing to PDSC access conditions),MMT1-20180803AT-lbl_04.pdf,https://catalog.paradisec.org.au/repository/MMT1/20180803AT/MMT1-20180803AT-lbl_04.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20180803AT,Alec Tucker,,,"English, Panytyima",Open (subject to agreeing to PDSC access conditions),MMT1-20180803AT-lbl_03.pdf,https://catalog.paradisec.org.au/repository/MMT1/20180803AT/MMT1-20180803AT-lbl_03.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20180809JB,Joe Brown,,,"Arrernte, Eastern, English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara, Warlpiri",Open (subject to agreeing to PDSC access conditions),MMT1-20180809JB-txt01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20180809JB/MMT1-20180809JB-txt01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20180809JB,Joe Brown,,,"Arrernte, Eastern, English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara, Warlpiri",Open (subject to agreeing to PDSC access conditions),MMT1-20180809JB-txt02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20180809JB/MMT1-20180809JB-txt02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20181119ANHenwood,Alice Nampijinpa Henwood,,,"English, Martu Wangka, Pintupi-Luritja",Open (subject to agreeing to PDSC access conditions),MMT1-20181119ANHenwood-TXT01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20181119ANHenwood/MMT1-20181119ANHenwood-TXT01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20181209Perth,David Stock and Hilda Flan,,,"Arrernte, Eastern, English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20181209Perth-TXT01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20181209Perth/MMT1-20181209Perth-TXT01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20181209Perth,David Stock and Hilda Flan,,,"Arrernte, Eastern, English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20181209Perth-TXT02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20181209Perth/MMT1-20181209Perth-TXT02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
