item,pulse_strength,tempo,tonal_entropy,harmonic_share,centroid,flatness,rms_cv,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
AA1-005,0.26647989473300654,112.34714673913044,3.375934362411499,0.28109559416770935,2623.4011002496954,0.0399254634976387,0.8844952583312988,-314.548583984375,79.76908111572266,-18.91404151916504,-5.753073215484619,-28.162813186645508,-3.8345322608947754,-19.23863410949707,1.7722200155258179,-11.705663681030273,1.1864985227584839,-8.889397621154785,-0.021832183003425598,-10.330718040466309
AA2-009,0.3121696424624939,112.34714673913044,2.981890916824341,0.7521421909332275,1789.0872360049466,0.004680451471358538,0.34545302391052246,-275.5915222167969,107.91968536376953,-23.182554244995117,17.94380760192871,-53.754615783691406,-12.24602222442627,-13.718015670776367,-10.314525604248047,-15.23721694946289,0.985710859298706,-17.58823013305664,-0.2256961464881897,-10.451072692871094
AB1-018,0.2404005840086251,172.265625,3.382269859313965,0.39923134446144104,1888.0919073941902,0.009884661994874477,0.8154552578926086,-316.2559814453125,111.71773529052734,-42.58354568481445,41.75259780883789,-10.999906539916992,-3.512608528137207,4.10175895690918,-11.331706047058105,-0.7267062067985535,-1.7433701753616333,-1.603461503982544,2.397433280944824,-4.144739627838135
AC1-002,0.2575495151472868,117.45383522727273,3.5252127647399902,0.43692800402641296,1496.1871018728036,0.009345154277980328,0.8473243117332458,-358.78704833984375,138.25828552246094,6.09502649307251,25.75546646118164,-12.30087947845459,-6.407192707061768,4.884641170501709,-8.101572036743164,-4.428571701049805,-1.6140044927597046,-4.269556522369385,4.8902812004089355,-9.769379615783691
AC1-006,0.22533393017609335,103.359375,3.4598047733306885,0.630500853061676,1072.3759721496228,0.002786608412861824,0.7693708539009094,-390.98870849609375,152.77389526367188,6.669988632202148,21.39937400817871,-9.18844223022461,-1.2778172492980957,-6.873648166656494,-7.967426776885986,-1.83228600025177,-6.212038040161133,-6.05003547668457,-3.9150707721710205,-3.429525375366211
AC1-007,0.1883298568691288,112.34714673913044,3.2777934074401855,0.6081265807151794,1475.2464396523433,0.011120655573904514,1.1209739446640015,-420.65423583984375,113.67862701416016,9.164298057556152,23.193571090698242,-5.676614284515381,-9.970029830932617,0.310442179441452,-6.625078201293945,-10.463520050048828,-0.927823543548584,-6.4277215003967285,-6.71693229675293,-4.146676540374756
AC1-009,0.17653860978665795,51.6796875,3.387021064758301,0.31639188528060913,1417.2658736144504,0.008429016917943954,1.1858501434326172,-446.0968933105469,139.94227600097656,11.130977630615234,11.921002388000488,7.2339558601379395,1.8707510232925415,-2.209122896194458,-4.995993614196777,-0.6706035733222961,-0.6185874938964844,3.365586519241333,3.6887190341949463,-6.196527481079102
AC1-010,0.38342575846330573,129.19921875,3.025766372680664,0.7798011898994446,1265.465638125843,0.0014724245993420482,0.4487614631652832,-313.6907043457031,148.48023986816406,-26.407421112060547,17.760751724243164,-27.920814514160156,-5.7424235343933105,-6.284985065460205,-10.11607837677002,-9.093024253845215,-10.134586334228516,-11.464594841003418,-2.187619209289551,6.42586088180542
AC1-013,0.16274508273771196,45.333059210526315,3.1741244792938232,0.5366697311401367,1618.8144789242072,0.00593875115737319,1.1490830183029175,-370.6711120605469,117.94170379638672,-35.29576873779297,25.935144424438477,18.871505737304688,-17.606874465942383,-16.849817276000977,-19.826839447021484,-9.992252349853516,-3.3060414791107178,-7.496708393096924,-1.3907346725463867,2.5845580101013184
AC1-014,0.13785597523003648,161.4990234375,2.944023847579956,0.4048159718513489,748.3015936767906,0.0003321765689179301,1.2313899993896484,-442.7153625488281,164.81442260742188,24.58987045288086,-2.8651647567749023,14.504236221313477,2.469278573989868,-5.701747417449951,-2.745725393295288,1.4577447175979614,1.7612335681915283,0.2648853063583374,-0.8695781230926514,-1.2199488878250122
AC1-015,0.2199974634099089,287.109375,3.1013777256011963,0.4746052622795105,610.973842006475,0.00012208055704832077,0.7723488807678223,-387.4945068359375,209.2603759765625,29.15471649169922,-12.87569522857666,12.831336975097656,0.18706342577934265,-10.038214683532715,-6.267511367797852,-3.447530746459961,-4.407102584838867,-4.552133560180664,-3.5789003372192383,-3.282923936843872
AC1-018,0.19224899696800565,135.99917763157896,2.9104104042053223,0.5842342972755432,546.5164017092701,8.398616773774847e-05,0.95940762758255,-462.6509704589844,157.95692443847656,50.982791900634766,13.904942512512207,15.899413108825684,6.2573676109313965,2.315608263015747,-0.4750424921512604,-4.07661247253418,-8.10274887084961,-6.849658489227295,-2.446415662765503,-0.8482716679573059
AC1-024,0.2668228988729079,234.90767045454547,3.069788932800293,0.22866788506507874,1374.6258920949008,0.0027981335297226906,0.8656345009803772,-280.96820068359375,166.79156494140625,-57.29026412963867,-0.6703278422355652,-5.562014102935791,-1.0071924924850464,2.561522960662842,7.665060043334961,3.032360553741455,0.1425374299287796,3.483811855316162,-1.65439772605896,7.736139297485352
AC1-029,0.16254194039182035,99.38401442307692,3.299259662628174,0.1916017234325409,752.5754407631999,0.0004867302195634693,1.1374542713165283,-432.0052795410156,157.7848663330078,42.537994384765625,6.634274959564209,9.870490074157715,0.5017098188400269,-5.383432865142822,-3.3792521953582764,-4.937765121459961,-5.445209503173828,-0.7428383827209473,2.988797426223755,2.132889747619629
AC1-031,0.21399758683914863,161.4990234375,3.3002426624298096,0.05478675663471222,1849.7513320849978,0.008474032394587994,1.261591911315918,-308.24810791015625,130.23056030273438,-60.28199768066406,25.55403709411621,-12.391291618347168,-15.83648681640625,-1.3824857473373413,-13.241186141967773,2.225419044494629,-7.39530086517334,-1.5360389947891235,9.222440719604492,-1.6510173082351685
AC1-032,0.2603514727607563,287.109375,3.353640556335449,0.3207206130027771,1508.4155234462555,0.004043538123369217,1.058984637260437,-359.6424255371094,138.31475830078125,-47.27500534057617,19.20146942138672,-3.387897253036499,-20.686052322387695,-8.932628631591797,-17.399412155151367,-8.88109302520752,-4.00429105758667,-7.134584903717041,4.3394598960876465,1.1040117740631104
AC1-104,0.19241341199672718,99.38401442307692,3.3562357425689697,0.24421536922454834,1547.4056996471616,0.009470729157328606,1.2748732566833496,-384.9553527832031,149.08096313476562,-48.22736358642578,3.912742853164673,16.83791160583496,-10.247745513916016,-6.279986381530762,-6.314948081970215,-7.718683242797852,-1.1797245740890503,-4.601734161376953,-0.3073180019855499,3.8819258213043213
AC1-105,0.3463628385826278,234.90767045454547,3.4155287742614746,0.26116862893104553,1803.5566178331342,0.00731533532962203,1.0309805870056152,-351.53704833984375,126.90103912353516,-57.97006607055664,27.71724510192871,11.73963737487793,-19.529451370239258,-3.4633162021636963,-6.965289115905762,-13.556107521057129,-0.3128361105918884,-14.751885414123535,-4.185609817504883,6.995558738708496
AC1-108,0.27419338135287114,45.333059210526315,3.3327624797821045,0.4862510561943054,1898.0298473131522,0.010890163481235504,1.0789282321929932,-375.0516052246094,105.16847229003906,9.525385856628418,42.66116714477539,-8.975669860839844,2.407179594039917,-13.413304328918457,-6.132758140563965,-0.7200435400009155,-7.629245281219482,-2.295177936553955,-1.5712804794311523,-5.622943878173828
AC1-111,0.17320211609458125,54.978390957446805,2.756885051727295,0.7196173071861267,1169.9441433863599,0.0029940952081233263,1.2520849704742432,-419.7791442871094,133.32777404785156,25.697509765625,11.839631080627441,-27.126523971557617,-8.73932933807373,12.295421600341797,-9.987286567687988,-7.872420310974121,-4.64625358581543,-6.355429172515869,1.1033426523208618,-1.8320047855377197
AC1-416,0.15790150092957397,287.109375,3.2321627140045166,0.4050094485282898,1094.0984092389901,0.0024009381886571646,1.007714033126831,-418.9339294433594,164.21543884277344,-3.0237019062042236,-1.8240740299224854,4.506815433502197,-4.5944108963012695,-3.9081802368164062,-6.329598426818848,4.728454113006592,1.6753147840499878,-10.20457649230957,2.672748327255249,1.6461259126663208
AC1-417,0.21425391273004807,80.74951171875,2.386420249938965,0.6335075497627258,1288.5918157337421,0.00215549161657691,0.6382401585578918,-305.97808837890625,150.95558166503906,-4.360850811004639,10.391229629516602,19.200332641601562,5.0976128578186035,-7.782032489776611,-5.360998153686523,3.571650505065918,6.681972026824951,-11.230727195739746,0.6177284121513367,3.5701119899749756
AC1-434,0.31909802714563723,53.8330078125,2.9500184059143066,0.500092089176178,1747.3547463594887,0.016442444175481796,0.7290645241737366,-296.7863464355469,121.57086181640625,-20.519472122192383,-2.861726999282837,-8.61275863647461,-15.303289413452148,-13.61149787902832,2.4333574771881104,-3.6799724102020264,0.3138362169265747,0.9805354475975037,3.1735918521881104,-2.512316942214966
